work_item_id,project_id,parent_work_item_id,work_item_type,title,state,blocked_flag,created_date,closed_date,story_points
WI-000023,PJ-100-01-02,WI-000020,Story,Story 2 for PJ-100-01-02,Backlog,False,2026-04-19,,3
WI-000024,PJ-100-01-02,WI-000020,Story,Story 3 for PJ-100-01-02,Ready,False,2026-06-07,,13
WI-000025,PJ-100-01-02,WI-000019,Story,Story 4 for PJ-100-01-02,Backlog,False,2026-04-20,,8
WI-000026,PJ-100-01-02,WI-000021,Story,Story 5 for PJ-100-01-02,Review,False,2026-03-29,,2
WI-000027,PJ-100-01-02,WI-000021,Story,Story 6 for PJ-100-01-02,Blocked,True,2026-06-15,,2
WI-000028,PJ-100-01-02,WI-000021,Story,Story 7 for PJ-100-01-02,Review,False,2026-08-27,,13
WI-000029,PJ-100-01-02,WI-000020,Story,Story 8 for PJ-100-01-02,Done,False,2026-06-15,2026-06-23,5
WI-000030,PJ-100-01-02,WI-000020,Story,Story 9 for PJ-100-01-02,Backlog,False,2026-04-22,,3
WI-000031,PJ-100-01-02,WI-000021,Story,Story 10 for PJ-100-01-02,Ready,False,2026-02-08,,3
WI-000032,PJ-100-01-02,WI-000021,Story,Story 11 for PJ-100-01-02,Ready,False,2026-08-04,,5
WI-000033,PJ-100-01-02,WI-000021,Story,Story 12 for PJ-100-01-02,Done,False,2026-03-17,2026-03-23,1
WI-000034,PJ-100-01-02,WI-000021,Story,Story 13 for PJ-100-01-02,Backlog,False,2026-08-23,,1
WI-000035,PJ-100-01-02,WI-000020,Story,Story 14 for PJ-100-01-02,Review,False,2026-05-11,,1
WI-000036,PJ-100-01-02,WI-000021,Story,Story 15 for PJ-100-01-02,Blocked,True,2026-04-29,,8
WI-000037,PJ-100-01-03,,Epic,Epic 1 for PJ-100-01-03,In Progress,False,2026-01-15,,
WI-000038,PJ-100-01-03,,Epic,Epic 2 for PJ-100-01-03,In Progress,False,2026-01-15,,
WI-000039,PJ-100-01-03,,Epic,Epic 3 for PJ-100-01-03,In Progress,False,2026-01-15,,
WI-000040,PJ-100-01-03,WI-000039,Story,Story 1 for PJ-100-01-03,Backlog,False,2026-05-30,,1
WI-000041,PJ-100-01-03,WI-000039,Story,Story 2 for PJ-100-01-03,Blocked,True,2026-01-30,,5
WI-000042,PJ-100-01-03,WI-000038,Story,Story 3 for PJ-100-01-03,Ready,False,2026-02-15,,1
WI-000043,PJ-100-01-03,WI-000039,Story,Story 4 for PJ-100-01-03,Review,False,2026-01-22,,3
WI-000044,PJ-100-01-03,WI-000039,Story,Story 5 for PJ-100-01-03,Done,False,2026-03-22,2026-04-23,5
WI-000045,PJ-100-01-03,WI-000038,Story,Story 6 for PJ-100-01-03,In Progress,False,2026-06-09,,2
WI-000046,PJ-100-01-03,WI-000037,Story,Story 7 for PJ-100-01-03,Ready,False,2026-02-24,,13
WI-000047,PJ-100-01-03,WI-000039,Story,Story 8 for PJ-100-01-03,In Progress,False,2026-06-04,,1
WI-000048,PJ-100-01-03,WI-000037,Story,Story 9 for PJ-100-01-03,Done,False,2026-04-22,2026-04-26,5
WI-000049,PJ-100-01-03,WI-000037,Story,Story 10 for PJ-100-01-03,Backlog,False,2026-01-30,,13
WI-000050,PJ-100-01-03,WI-000039,Story,Story 11 for PJ-100-01-03,Review,False,2026-05-03,,5
WI-000051,PJ-100-01-03,WI-000039,Story,Story 12 for PJ-100-01-03,Blocked,True,2026-08-11,,8
WI-000052,PJ-100-01-03,WI-000038,Story,Story 13 for PJ-100-01-03,Review,False,2026-07-05,,8
WI-000053,PJ-100-01-03,WI-000039,Story,Story 14 for PJ-100-01-03,Done,False,2026-07-28,2026-08-23,13
WI-000054,PJ-100-01-03,WI-000038,Story,Story 15 for PJ-100-01-03,Blocked,True,2026-06-26,,3
WI-000055,PJ-100-01-04,,Epic,Epic 1 for PJ-100-01-04,Backlog,False,2026-01-15,,
WI-000056,PJ-100-01-04,,Epic,Epic 2 for PJ-100-01-04,Backlog,False,2026-01-15,,
WI-000057,PJ-100-01-04,,Epic,Epic 3 for PJ-100-01-04,Backlog,False,2026-01-15,,
WI-000058,PJ-100-01-04,WI-000055,Story,Story 1 for PJ-100-01-04,Ready,False,2026-01-04,,1
WI-000059,PJ-100-01-04,WI-000055,Story,Story 2 for PJ-100-01-04,Ready,False,2026-06-28,,2
WI-000060,PJ-100-01-04,WI-000055,Story,Story 3 for PJ-100-01-04,Blocked,True,2026-05-04,,13
WI-000061,PJ-100-01-04,WI-000057,Story,Story 4 for PJ-100-01-04,Review,False,2026-03-03,,8
WI-000062,PJ-100-01-04,WI-000056,Story,Story 5 for PJ-100-01-04,Backlog,False,2026-02-18,,5
WI-000063,PJ-100-01-04,WI-000056,Story,Story 6 for PJ-100-01-04,Review,False,2026-02-07,,1
WI-000064,PJ-100-01-04,WI-000055,Story,Story 7 for PJ-100-01-04,Ready,False,2026-01-30,,13
WI-000065,PJ-100-01-04,WI-000056,Story,Story 8 for PJ-100-01-04,Review,False,2026-06-29,,5
WI-000066,PJ-100-01-04,WI-000057,Story,Story 9 for PJ-100-01-04,Review,False,2026-01-06,,2
WI-000067,PJ-100-01-04,WI-000057,Story,Story 10 for PJ-100-01-04,In Progress,False,2026-02-21,,5
WI-000068,PJ-100-01-04,WI-000055,Story,Story 11 for PJ-100-01-04,In Progress,False,2026-01-14,,1
WI-000069,PJ-100-01-04,WI-000056,Story,Story 12 for PJ-100-01-04,Blocked,True,2026-06-11,,5
WI-000070,PJ-100-01-04,WI-000057,Story,Story 13 for PJ-100-01-04,Review,False,2026-08-06,,8
WI-000071,PJ-100-01-04,WI-000057,Story,Story 14 for PJ-100-01-04,Blocked,True,2026-06-02,,3
WI-000072,PJ-100-01-04,WI-000056,Story,Story 15 for PJ-100-01-04,Review,False,2026-01-10,,5
WI-000073,PJ-100-01-05,,Epic,Epic 1 for PJ-100-01-05,Done,False,2026-01-15,,
WI-000074,PJ-100-01-05,,Epic,Epic 2 for PJ-100-01-05,Done,False,2026-01-15,,
WI-000075,PJ-100-01-05,,Epic,Epic 3 for PJ-100-01-05,Done,False,2026-01-15,,
WI-000076,PJ-100-01-05,WI-000074,Story,Story 1 for PJ-100-01-05,Blocked,True,2026-06-06,,2
WI-000077,PJ-100-01-05,WI-000075,Story,Story 2 for PJ-100-01-05,Backlog,False,2026-07-02,,1
WI-000078,PJ-100-01-05,WI-000075,Story,Story 3 for PJ-100-01-05,Done,False,2026-04-19,2026-05-12,1
WI-000079,PJ-100-01-05,WI-000074,Story,Story 4 for PJ-100-01-05,Blocked,True,2026-03-10,,5
WI-000080,PJ-100-01-05,WI-000075,Story,Story 5 for PJ-100-01-05,Review,False,2026-01-30,,13
WI-000081,PJ-100-01-05,WI-000075,Story,Story 6 for PJ-100-01-05,Review,False,2026-03-30,,5
WI-000082,PJ-100-01-05,WI-000074,Story,Story 7 for PJ-100-01-05,Ready,False,2026-01-06,,13
WI-000083,PJ-100-01-05,WI-000074,Story,Story 8 for PJ-100-01-05,Review,False,2026-02-19,,5
WI-000084,PJ-100-01-05,WI-000075,Story,Story 9 for PJ-100-01-05,Done,False,2026-03-01,2026-03-18,13
WI-000085,PJ-100-01-05,WI-000074,Story,Story 10 for PJ-100-01-05,Done,False,2026-03-28,2026-05-12,2
WI-000086,PJ-100-01-05,WI-000075,Story,Story 11 for PJ-100-01-05,In Progress,False,2026-08-15,,13
WI-000087,PJ-100-01-05,WI-000075,Story,Story 12 for PJ-100-01-05,Review,False,2026-04-10,,13
WI-000088,PJ-100-01-05,WI-000074,Story,Story 13 for PJ-100-01-05,In Progress,False,2026-07-08,,2
WI-000089,PJ-100-01-05,WI-000074,Story,Story 14 for PJ-100-01-05,Ready,False,2026-06-09,,13
WI-000090,PJ-100-01-05,WI-000075,Story,Story 15 for PJ-100-01-05,Backlog,False,2026-07-11,,5
WI-000091,PJ-100-02-01,,Epic,Epic 1 for PJ-100-02-01,Backlog,False,2026-01-15,,
WI-000092,PJ-100-02-01,,Epic,Epic 2 for PJ-100-02-01,Backlog,False,2026-01-15,,
WI-000093,PJ-100-02-01,,Epic,Epic 3 for PJ-100-02-01,Backlog,False,2026-01-15,,
WI-000094,PJ-100-02-01,WI-000091,Story,Story 1 for PJ-100-02-01,Done,False,2026-02-10,2026-03-16,5
WI-000095,PJ-100-02-01,WI-000091,Story,Story 2 for PJ-100-02-01,In Progress,False,2026-05-07,,2
WI-000096,PJ-100-02-01,WI-000091,Story,Story 3 for PJ-100-02-01,Backlog,False,2026-05-23,,3
WI-000097,PJ-100-02-01,WI-000092,Story,Story 4 for PJ-100-02-01,In Progress,False,2026-08-14,,13
WI-000098,PJ-100-02-01,WI-000093,Story,Story 5 for PJ-100-02-01,Ready,False,2026-02-10,,1
WI-000099,PJ-100-02-01,WI-000092,Story,Story 6 for PJ-100-02-01,Backlog,False,2026-07-26,,5
WI-000100,PJ-100-02-01,WI-000091,Story,Story 7 for PJ-100-02-01,Done,False,2026-01-30,2026-02-16,8
WI-000101,PJ-100-02-01,WI-000092,Story,Story 8 for PJ-100-02-01,Review,False,2026-02-27,,3
WI-000102,PJ-100-02-01,WI-000091,Story,Story 9 for PJ-100-02-01,In Progress,False,2026-07-20,,8
WI-000103,PJ-100-02-01,WI-000093,Story,Story 10 for PJ-100-02-01,Ready,False,2026-03-10,,8
WI-000104,PJ-100-02-01,WI-000091,Story,Story 11 for PJ-100-02-01,Blocked,True,2026-06-04,,13
WI-000105,PJ-100-02-01,WI-000092,Story,Story 12 for PJ-100-02-01,Review,False,2026-01-13,,1
WI-000106,PJ-100-02-01,WI-000091,Story,Story 13 for PJ-100-02-01,Done,False,2026-01-28,2026-03-11,8
WI-000107,PJ-100-02-01,WI-000091,Story,Story 14 for PJ-100-02-01,Done,False,2026-01-11,2026-01-20,13
WI-000108,PJ-100-02-01,WI-000092,Story,Story 15 for PJ-100-02-01,Ready,False,2026-01-31,,2
WI-000109,PJ-100-02-02,,Epic,Epic 1 for PJ-100-02-02,Done,False,2026-01-15,,
WI-000110,PJ-100-02-02,,Epic,Epic 2 for PJ-100-02-02,In Progress,False,2026-01-15,,
WI-000111,PJ-100-02-02,,Epic,Epic 3 for PJ-100-02-02,Done,False,2026-01-15,,
WI-000112,PJ-100-02-02,WI-000111,Story,Story 1 for PJ-100-02-02,Done,False,2026-04-24,2026-05-28,1
WI-000113,PJ-100-02-02,WI-000110,Story,Story 2 for PJ-100-02-02,Blocked,True,2026-02-09,,3
WI-000114,PJ-100-02-02,WI-000109,Story,Story 3 for PJ-100-02-02,Ready,False,2026-07-29,,2
WI-000115,PJ-100-02-02,WI-000109,Story,Story 4 for PJ-100-02-02,Review,False,2026-04-23,,2
WI-000116,PJ-100-02-02,WI-000110,Story,Story 5 for PJ-100-02-02,Review,False,2026-08-02,,3
WI-000117,PJ-100-02-02,WI-000109,Story,Story 6 for PJ-100-02-02,Ready,False,2026-05-10,,3
WI-000118,PJ-100-02-02,WI-000110,Story,Story 7 for PJ-100-02-02,Blocked,True,2026-04-06,,3
WI-000119,PJ-100-02-02,WI-000109,Story,Story 8 for PJ-100-02-02,Blocked,True,2026-06-11,,2
WI-000120,PJ-100-02-02,WI-000109,Story,Story 9 for PJ-100-02-02,Done,False,2026-07-12,2026-08-10,2
WI-000121,PJ-100-02-02,WI-000110,Story,Story 10 for PJ-100-02-02,Review,False,2026-07-25,,5
WI-000122,PJ-100-02-02,WI-000111,Story,Story 11 for PJ-100-02-02,Review,False,2026-08-18,,13
WI-000123,PJ-100-02-02,WI-000110,Story,Story 12 for PJ-100-02-02,Backlog,False,2026-04-03,,2
WI-000124,PJ-100-02-02,WI-000111,Story,Story 13 for PJ-100-02-02,Backlog,False,2026-07-17,,8
WI-000125,PJ-100-02-02,WI-000110,Story,Story 14 for PJ-100-02-02,Backlog,False,2026-01-18,,3
WI-000126,PJ-100-02-02,WI-000110,Story,Story 15 for PJ-100-02-02,Ready,False,2026-04-13,,1
WI-000127,PJ-100-02-03,,Epic,Epic 1 for PJ-100-02-03,In Progress,False,2026-01-15,,
WI-000128,PJ-100-02-03,,Epic,Epic 2 for PJ-100-02-03,Backlog,False,2026-01-15,,
WI-000129,PJ-100-02-03,,Epic,Epic 3 for PJ-100-02-03,Done,False,2026-01-15,,
WI-000130,PJ-100-02-03,WI-000127,Story,Story 1 for PJ-100-02-03,Blocked,True,2026-08-25,,8
WI-000131,PJ-100-02-03,WI-000129,Story,Story 2 for PJ-100-02-03,Blocked,True,2026-01-15,,13
WI-000132,PJ-100-02-03,WI-000128,Story,Story 3 for PJ-100-02-03,Done,False,2026-08-13,2026-09-03,5
WI-000133,PJ-100-02-03,WI-000129,Story,Story 4 for PJ-100-02-03,Blocked,True,2026-08-15,,8
WI-000134,PJ-100-02-03,WI-000129,Story,Story 5 for PJ-100-02-03,In Progress,False,2026-08-12,,13
WI-000135,PJ-100-02-03,WI-000127,Story,Story 6 for PJ-100-02-03,In Progress,False,2026-03-22,,3
WI-000136,PJ-100-02-03,WI-000127,Story,Story 7 for PJ-100-02-03,Done,False,2026-08-19,2026-09-30,13
WI-000137,PJ-100-02-03,WI-000129,Story,Story 8 for PJ-100-02-03,Review,False,2026-04-14,,2
WI-000138,PJ-100-02-03,WI-000129,Story,Story 9 for PJ-100-02-03,Done,False,2026-08-16,2026-09-27,13
WI-000139,PJ-100-02-03,WI-000128,Story,Story 10 for PJ-100-02-03,Blocked,True,2026-04-24,,13
WI-000140,PJ-100-02-03,WI-000128,Story,Story 11 for PJ-100-02-03,Ready,False,2026-04-14,,1
WI-000141,PJ-100-02-03,WI-000128,Story,Story 12 for PJ-100-02-03,Done,False,2026-01-10,2026-02-03,13
WI-000142,PJ-100-02-03,WI-000127,Story,Story 13 for PJ-100-02-03,Blocked,True,2026-07-04,,8
WI-000143,PJ-100-02-03,WI-000127,Story,Story 14 for PJ-100-02-03,In Progress,False,2026-05-19,,1
WI-000144,PJ-100-02-03,WI-000129,Story,Story 15 for PJ-100-02-03,Done,False,2026-05-11,2026-06-02,3
WI-000145,PJ-100-02-04,,Epic,Epic 1 for PJ-100-02-04,Done,False,2026-01-15,,
WI-000146,PJ-100-02-04,,Epic,Epic 2 for PJ-100-02-04,Backlog,False,2026-01-15,,
WI-000147,PJ-100-02-04,,Epic,Epic 3 for PJ-100-02-04,Backlog,False,2026-01-15,,
WI-000148,PJ-100-02-04,WI-000146,Story,Story 1 for PJ-100-02-04,Done,False,2026-01-08,2026-02-17,2
WI-000149,PJ-100-02-04,WI-000147,Story,Story 2 for PJ-100-02-04,In Progress,False,2026-08-02,,5
WI-000150,PJ-100-02-04,WI-000147,Story,Story 3 for PJ-100-02-04,Backlog,False,2026-05-10,,1
WI-000151,PJ-100-02-04,WI-000146,Story,Story 4 for PJ-100-02-04,In Progress,False,2026-08-04,,13
WI-000152,PJ-100-02-04,WI-000145,Story,Story 5 for PJ-100-02-04,In Progress,False,2026-05-10,,1
WI-000153,PJ-100-02-04,WI-000145,Story,Story 6 for PJ-100-02-04,Blocked,True,2026-07-13,,5
WI-000154,PJ-100-02-04,WI-000146,Story,Story 7 for PJ-100-02-04,Done,False,2026-03-18,2026-03-21,3
WI-000155,PJ-100-02-04,WI-000147,Story,Story 8 for PJ-100-02-04,Blocked,True,2026-03-02,,8
WI-000156,PJ-100-02-04,WI-000147,Story,Story 9 for PJ-100-02-04,Blocked,True,2026-07-02,,8
WI-000157,PJ-100-02-04,WI-000146,Story,Story 10 for PJ-100-02-04,Done,False,2026-08-05,2026-08-22,3
WI-000158,PJ-100-02-04,WI-000147,Story,Story 11 for PJ-100-02-04,Blocked,True,2026-03-14,,8
WI-000159,PJ-100-02-04,WI-000147,Story,Story 12 for PJ-100-02-04,Ready,False,2026-06-22,,5
WI-000160,PJ-100-02-04,WI-000145,Story,Story 13 for PJ-100-02-04,Blocked,True,2026-05-14,,1
WI-000161,PJ-100-02-04,WI-000145,Story,Story 14 for PJ-100-02-04,Done,False,2026-03-25,2026-05-04,3
WI-000162,PJ-100-02-04,WI-000145,Story,Story 15 for PJ-100-02-04,Backlog,False,2026-04-27,,13
WI-000163,PJ-100-02-05,,Epic,Epic 1 for PJ-100-02-05,In Progress,False,2026-01-15,,
WI-000164,PJ-100-02-05,,Epic,Epic 2 for PJ-100-02-05,In Progress,False,2026-01-15,,
WI-000165,PJ-100-02-05,,Epic,Epic 3 for PJ-100-02-05,Backlog,False,2026-01-15,,
WI-000166,PJ-100-02-05,WI-000164,Story,Story 1 for PJ-100-02-05,Backlog,False,2026-01-24,,2
WI-000167,PJ-100-02-05,WI-000164,Story,Story 2 for PJ-100-02-05,Ready,False,2026-05-02,,1
WI-000168,PJ-100-02-05,WI-000165,Story,Story 3 for PJ-100-02-05,Blocked,True,2026-04-05,,5
WI-000169,PJ-100-02-05,WI-000164,Story,Story 4 for PJ-100-02-05,Done,False,2026-05-31,2026-07-06,3
WI-000170,PJ-100-02-05,WI-000165,Story,Story 5 for PJ-100-02-05,Review,False,2026-05-30,,5
WI-000171,PJ-100-02-05,WI-000164,Story,Story 6 for PJ-100-02-05,Blocked,True,2026-04-23,,13
WI-000172,PJ-100-02-05,WI-000163,Story,Story 7 for PJ-100-02-05,Ready,False,2026-04-17,,8
WI-000173,PJ-100-02-05,WI-000165,Story,Story 8 for PJ-100-02-05,Review,False,2026-02-02,,5
WI-000174,PJ-100-02-05,WI-000165,Story,Story 9 for PJ-100-02-05,Blocked,True,2026-02-03,,8
WI-000175,PJ-100-02-05,WI-000163,Story,Story 10 for PJ-100-02-05,Blocked,True,2026-01-31,,5
WI-000176,PJ-100-02-05,WI-000165,Story,Story 11 for PJ-100-02-05,Backlog,False,2026-05-02,,2
WI-000177,PJ-100-02-05,WI-000163,Story,Story 12 for PJ-100-02-05,In Progress,False,2026-05-24,,8
WI-000178,PJ-100-02-05,WI-000163,Story,Story 13 for PJ-100-02-05,Review,False,2026-08-07,,1
WI-000179,PJ-100-02-05,WI-000163,Story,Story 14 for PJ-100-02-05,Done,False,2026-04-05,2026-04-26,8
WI-000180,PJ-100-02-05,WI-000164,Story,Story 15 for PJ-100-02-05,Backlog,False,2026-02-09,,3
WI-000181,PJ-100-03-01,,Epic,Epic 1 for PJ-100-03-01,In Progress,False,2026-01-15,,
WI-000182,PJ-100-03-01,,Epic,Epic 2 for PJ-100-03-01,In Progress,False,2026-01-15,,
WI-000183,PJ-100-03-01,,Epic,Epic 3 for PJ-100-03-01,In Progress,False,2026-01-15,,
WI-000184,PJ-100-03-01,WI-000181,Story,Story 1 for PJ-100-03-01,Backlog,False,2026-05-05,,2
WI-000185,PJ-100-03-01,WI-000181,Story,Story 2 for PJ-100-03-01,Done,False,2026-07-20,2026-08-18,3
WI-000186,PJ-100-03-01,WI-000181,Story,Story 3 for PJ-100-03-01,In Progress,False,2026-08-16,,2
WI-000187,PJ-100-03-01,WI-000182,Story,Story 4 for PJ-100-03-01,Blocked,True,2026-07-29,,1
WI-000188,PJ-100-03-01,WI-000181,Story,Story 5 for PJ-100-03-01,Done,False,2026-02-01,2026-02-26,1
WI-000189,PJ-100-03-01,WI-000183,Story,Story 6 for PJ-100-03-01,Review,False,2026-04-17,,3
WI-000190,PJ-100-03-01,WI-000182,Story,Story 7 for PJ-100-03-01,Review,False,2026-05-25,,5
WI-000191,PJ-100-03-01,WI-000183,Story,Story 8 for PJ-100-03-01,Blocked,True,2026-05-02,,2
WI-000192,PJ-100-03-01,WI-000183,Story,Story 9 for PJ-100-03-01,Ready,False,2026-07-15,,13
WI-000193,PJ-100-03-01,WI-000183,Story,Story 10 for PJ-100-03-01,Review,False,2026-04-28,,5
WI-000194,PJ-100-03-01,WI-000182,Story,Story 11 for PJ-100-03-01,Blocked,True,2026-02-08,,1
WI-000195,PJ-100-03-01,WI-000183,Story,Story 12 for PJ-100-03-01,Done,False,2026-07-24,2026-09-07,5
WI-000196,PJ-100-03-01,WI-000182,Story,Story 13 for PJ-100-03-01,Ready,False,2026-04-10,,3
WI-000197,PJ-100-03-01,WI-000183,Story,Story 14 for PJ-100-03-01,Backlog,False,2026-05-19,,5
WI-000198,PJ-100-03-01,WI-000183,Story,Story 15 for PJ-100-03-01,In Progress,False,2026-07-08,,1
WI-000199,PJ-100-03-02,,Epic,Epic 1 for PJ-100-03-02,Backlog,False,2026-01-15,,
WI-000200,PJ-100-03-02,,Epic,Epic 2 for PJ-100-03-02,Done,False,2026-01-15,,
WI-000201,PJ-100-03-02,,Epic,Epic 3 for PJ-100-03-02,Backlog,False,2026-01-15,,
WI-000202,PJ-100-03-02,WI-000201,Story,Story 1 for PJ-100-03-02,Blocked,True,2026-05-27,,3
WI-000203,PJ-100-03-02,WI-000199,Story,Story 2 for PJ-100-03-02,Blocked,True,2026-05-24,,13
WI-000204,PJ-100-03-02,WI-000199,Story,Story 3 for PJ-100-03-02,Backlog,False,2026-05-24,,8
WI-000205,PJ-100-03-02,WI-000201,Story,Story 4 for PJ-100-03-02,Done,False,2026-05-19,2026-05-25,8
WI-000206,PJ-100-03-02,WI-000201,Story,Story 5 for PJ-100-03-02,Review,False,2026-02-18,,1
WI-000207,PJ-100-03-02,WI-000201,Story,Story 6 for PJ-100-03-02,Blocked,True,2026-01-31,,2
WI-000208,PJ-100-03-02,WI-000199,Story,Story 7 for PJ-100-03-02,In Progress,False,2026-01-05,,2
WI-000209,PJ-100-03-02,WI-000201,Story,Story 8 for PJ-100-03-02,Blocked,True,2026-08-01,,5
WI-000210,PJ-100-03-02,WI-000200,Story,Story 9 for PJ-100-03-02,Done,False,2026-01-22,2026-03-04,5
WI-000211,PJ-100-03-02,WI-000200,Story,Story 10 for PJ-100-03-02,Backlog,False,2026-05-31,,1
WI-000212,PJ-100-03-02,WI-000199,Story,Story 11 for PJ-100-03-02,Review,False,2026-03-29,,5
WI-000213,PJ-100-03-02,WI-000200,Story,Story 12 for PJ-100-03-02,Done,False,2026-01-07,2026-01-30,3
WI-000214,PJ-100-03-02,WI-000199,Story,Story 13 for PJ-100-03-02,Backlog,False,2026-01-24,,8
WI-000215,PJ-100-03-02,WI-000199,Story,Story 14 for PJ-100-03-02,In Progress,False,2026-02-13,,2
WI-000216,PJ-100-03-02,WI-000199,Story,Story 15 for PJ-100-03-02,Backlog,False,2026-03-07,,3
WI-000217,PJ-100-03-03,,Epic,Epic 1 for PJ-100-03-03,In Progress,False,2026-01-15,,
WI-000218,PJ-100-03-03,,Epic,Epic 2 for PJ-100-03-03,Done,False,2026-01-15,,
WI-000219,PJ-100-03-03,,Epic,Epic 3 for PJ-100-03-03,Backlog,False,2026-01-15,,
WI-000220,PJ-100-03-03,WI-000217,Story,Story 1 for PJ-100-03-03,Done,False,2026-01-16,2026-02-08,1
WI-000221,PJ-100-03-03,WI-000218,Story,Story 2 for PJ-100-03-03,Backlog,False,2026-07-02,,5
WI-000222,PJ-100-03-03,WI-000217,Story,Story 3 for PJ-100-03-03,In Progress,False,2026-01-26,,5
WI-000223,PJ-100-03-03,WI-000218,Story,Story 4 for PJ-100-03-03,In Progress,False,2026-08-17,,5
WI-000224,PJ-100-03-03,WI-000217,Story,Story 5 for PJ-100-03-03,Backlog,False,2026-07-31,,2
WI-000225,PJ-100-03-03,WI-000217,Story,Story 6 for PJ-100-03-03,Done,False,2026-03-03,2026-04-12,5
WI-000226,PJ-100-03-03,WI-000217,Story,Story 7 for PJ-100-03-03,Done,False,2026-05-11,2026-06-07,3
WI-000227,PJ-100-03-03,WI-000218,Story,Story 8 for PJ-100-03-03,In Progress,False,2026-01-16,,8
WI-000228,PJ-100-03-03,WI-000218,Story,Story 9 for PJ-100-03-03,Backlog,False,2026-04-15,,1
WI-000229,PJ-100-03-03,WI-000217,Story,Story 10 for PJ-100-03-03,Blocked,True,2026-04-15,,1
WI-000230,PJ-100-03-03,WI-000219,Story,Story 11 for PJ-100-03-03,Done,False,2026-03-10,2026-04-19,1
WI-000231,PJ-100-03-03,WI-000217,Story,Story 12 for PJ-100-03-03,Done,False,2026-03-05,2026-04-18,3
WI-000232,PJ-100-03-03,WI-000218,Story,Story 13 for PJ-100-03-03,Review,False,2026-05-26,,1
WI-000233,PJ-100-03-03,WI-000219,Story,Story 14 for PJ-100-03-03,Blocked,True,2026-08-05,,2
WI-000234,PJ-100-03-03,WI-000218,Story,Story 15 for PJ-100-03-03,Ready,False,2026-07-20,,8
WI-000235,PJ-100-03-04,,Epic,Epic 1 for PJ-100-03-04,Backlog,False,2026-01-15,,
WI-000236,PJ-100-03-04,,Epic,Epic 2 for PJ-100-03-04,Backlog,False,2026-01-15,,
WI-000237,PJ-100-03-04,,Epic,Epic 3 for PJ-100-03-04,Done,False,2026-01-15,,
WI-000238,PJ-100-03-04,WI-000235,Story,Story 1 for PJ-100-03-04,Done,False,2026-04-19,2026-05-20,1
WI-000239,PJ-100-03-04,WI-000237,Story,Story 2 for PJ-100-03-04,Review,False,2026-07-28,,3
WI-000240,PJ-100-03-04,WI-000235,Story,Story 3 for PJ-100-03-04,Ready,False,2026-06-17,,1
WI-000241,PJ-100-03-04,WI-000236,Story,Story 4 for PJ-100-03-04,Review,False,2026-08-27,,8
WI-000242,PJ-100-03-04,WI-000236,Story,Story 5 for PJ-100-03-04,Blocked,True,2026-03-06,,3
