project_id,fiscal_year,fiscal_month,budget_amount,forecast_amount,actual_amount,capex_opex
PJ-100-02-01,2027,10,50044.62,56387.8,48728.3,OPEX
PJ-100-02-01,2027,11,50753.09,48265.22,47431.45,OPEX
PJ-100-02-01,2027,12,52594.38,63851.58,61644.25,OPEX
PJ-100-02-02,2027,1,186240.55,163919.66,139400.52,OPEX
PJ-100-02-02,2027,2,199339.78,220163.76,189954.48,OPEX
PJ-100-02-02,2027,3,180414.33,173029.88,158428.78,CAPEX
PJ-100-02-02,2027,4,192349.67,189464.62,186120.35,OPEX
PJ-100-02-02,2027,5,161203.91,198641.89,165310.58,OPEX
PJ-100-02-02,2027,6,168433.36,160631.2,121846.62,CAPEX
PJ-100-02-02,2027,7,210255.39,232578.49,236990.8,OPEX
PJ-100-02-02,2027,8,178887.57,199104.23,162877.68,OPEX
PJ-100-02-02,2027,9,183290.46,177842.01,174217.65,CAPEX
PJ-100-02-02,2027,10,205227.89,245937.51,260672.32,OPEX
PJ-100-02-02,2027,11,168113.92,197957.61,196684.57,OPEX
PJ-100-02-02,2027,12,158826.17,154411.34,161655.97,OPEX
PJ-100-02-03,2027,1,96253.99,108478.61,118866.78,OPEX
PJ-100-02-03,2027,2,100189.77,121212.35,116900.62,OPEX
PJ-100-02-03,2027,3,97026.0,105051.28,111776.96,OPEX
PJ-100-02-03,2027,4,86949.77,100701.52,105127.55,OPEX
PJ-100-02-03,2027,5,95311.17,102257.54,99124.57,OPEX
PJ-100-02-03,2027,6,86679.73,99162.62,82510.51,OPEX
PJ-100-02-03,2027,7,83497.62,90165.43,71990.87,CAPEX
PJ-100-02-03,2027,8,85174.59,79769.23,65800.32,OPEX
PJ-100-02-03,2027,9,85825.08,92756.84,83065.7,CAPEX
PJ-100-02-03,2027,10,97087.49,99427.92,101359.66,CAPEX
PJ-100-02-03,2027,11,97718.83,113673.39,100388.76,CAPEX
PJ-100-02-03,2027,12,99996.51,99045.21,87803.11,OPEX
PJ-100-02-04,2027,1,246851.2,267110.02,256729.7,CAPEX
PJ-100-02-04,2027,2,228976.91,224623.16,206647.63,OPEX
PJ-100-02-04,2027,3,218491.68,247175.81,220359.91,CAPEX
PJ-100-02-04,2027,4,253261.6,309037.51,337856.09,CAPEX
PJ-100-02-04,2027,5,257840.58,283366.89,278280.43,CAPEX
PJ-100-02-04,2027,6,239628.99,222905.0,203198.96,CAPEX
PJ-100-02-04,2027,7,213254.35,213493.3,194096.31,OPEX
PJ-100-02-04,2027,8,247796.6,252821.09,256159.2,OPEX
PJ-100-02-04,2027,9,212710.8,193631.77,146537.45,CAPEX
PJ-100-02-04,2027,10,264250.23,266756.73,260768.16,CAPEX
PJ-100-02-04,2027,11,247314.28,304532.01,249648.1,CAPEX
PJ-100-02-04,2027,12,238152.79,230594.21,211165.81,CAPEX
PJ-100-02-05,2027,1,270863.98,284965.86,239281.64,OPEX
PJ-100-02-05,2027,2,214989.84,237495.31,240291.57,CAPEX
PJ-100-02-05,2027,3,258688.28,243320.48,208979.11,CAPEX
PJ-100-02-05,2027,4,269512.21,294588.92,314564.75,OPEX
PJ-100-02-05,2027,5,231384.94,264832.89,205668.9,CAPEX
PJ-100-02-05,2027,6,210269.86,245136.38,256805.51,CAPEX
PJ-100-02-05,2027,7,260008.92,283252.43,216510.85,OPEX
PJ-100-02-05,2027,8,250359.07,226703.64,221407.88,CAPEX
PJ-100-02-05,2027,9,263830.62,312444.69,245874.79,OPEX
PJ-100-02-05,2027,10,248501.09,294876.79,294156.7,OPEX
PJ-100-02-05,2027,11,215587.84,231335.74,226167.72,OPEX
PJ-100-02-05,2027,12,236271.93,280105.53,268163.54,OPEX
PJ-100-03-01,2027,1,313451.14,384231.57,325684.25,OPEX
PJ-100-03-01,2027,2,313285.02,329557.71,317567.11,OPEX
PJ-100-03-01,2027,3,322705.69,343001.75,296269.46,OPEX
PJ-100-03-01,2027,4,310053.25,364373.95,316684.17,OPEX
PJ-100-03-01,2027,5,345041.92,369592.37,301908.83,CAPEX
PJ-100-03-01,2027,6,361767.4,383753.39,389646.93,OPEX
PJ-100-03-01,2027,7,354216.08,376037.17,386388.16,CAPEX
PJ-100-03-01,2027,8,318413.33,327847.42,273804.0,OPEX
PJ-100-03-01,2027,9,336639.61,362372.71,325746.37,OPEX
PJ-100-03-01,2027,10,324274.96,339803.11,291319.34,CAPEX
PJ-100-03-01,2027,11,300741.43,286082.15,226532.48,CAPEX
PJ-100-03-01,2027,12,307958.14,355163.11,300743.2,OPEX
PJ-100-03-02,2027,1,84467.15,83589.64,73250.3,OPEX
PJ-100-03-02,2027,2,65608.61,70701.81,59814.36,CAPEX
PJ-100-03-02,2027,3,78032.52,88804.48,70528.32,OPEX
PJ-100-03-02,2027,4,67646.34,59835.77,50831.61,OPEX
PJ-100-03-02,2027,5,75431.43,71525.18,54930.04,OPEX
PJ-100-03-02,2027,6,67911.29,61403.83,56621.17,CAPEX
PJ-100-03-02,2027,7,68778.55,81167.12,87838.57,CAPEX
PJ-100-03-02,2027,8,88183.41,81466.23,82896.38,CAPEX
PJ-100-03-02,2027,9,83155.32,84879.95,90649.79,OPEX
PJ-100-03-02,2027,10,85101.66,106063.18,90883.74,CAPEX
PJ-100-03-02,2027,11,79329.08,91532.51,99006.75,CAPEX
PJ-100-03-02,2027,12,79695.07,77935.32,60666.07,CAPEX
PJ-100-03-03,2027,1,104016.33,97558.69,87118.07,OPEX
PJ-100-03-03,2027,2,96005.14,92707.0,92469.16,OPEX
PJ-100-03-03,2027,3,89243.05,86241.52,72666.6,CAPEX
PJ-100-03-03,2027,4,100118.68,108277.16,105751.29,OPEX
PJ-100-03-03,2027,5,112454.79,101931.45,82368.05,OPEX
PJ-100-03-03,2027,6,105339.12,124823.59,133862.98,OPEX
PJ-100-03-03,2027,7,90876.86,103128.04,102602.79,OPEX
PJ-100-03-03,2027,8,102433.34,108856.35,84707.07,CAPEX
PJ-100-03-03,2027,9,114384.1,131745.04,126646.48,CAPEX
PJ-100-03-03,2027,10,89862.09,111061.19,115790.79,CAPEX
PJ-100-03-03,2027,11,117768.52,132930.53,112237.09,CAPEX
PJ-100-03-03,2027,12,110503.03,104405.53,97268.09,OPEX
PJ-100-03-04,2027,1,337774.55,421836.45,380732.6,OPEX
PJ-100-03-04,2027,2,412776.56,435026.81,388444.93,OPEX
PJ-100-03-04,2027,3,380326.46,455388.17,394107.17,OPEX
PJ-100-03-04,2027,4,338866.77,416711.79,431191.74,CAPEX
PJ-100-03-04,2027,5,356953.28,355658.02,306984.73,OPEX
PJ-100-03-04,2027,6,401470.91,475832.59,357066.14,OPEX
PJ-100-03-04,2027,7,352439.65,334608.16,293325.13,OPEX
PJ-100-03-04,2027,8,375471.27,435995.92,358059.64,CAPEX
PJ-100-03-04,2027,9,408284.2,425474.17,423086.2,CAPEX
PJ-100-03-04,2027,10,310712.65,345856.81,356149.44,CAPEX
PJ-100-03-04,2027,11,341312.82,302082.17,269697.98,CAPEX
PJ-100-03-04,2027,12,415295.29,505739.99,460985.42,CAPEX
PJ-100-03-05,2027,1,294767.63,313750.35,314004.86,OPEX
PJ-100-03-05,2027,2,261261.55,276551.84,253121.52,OPEX
PJ-100-03-05,2027,3,272180.18,278148.23,298356.77,CAPEX
PJ-100-03-05,2027,4,297331.64,292042.57,299782.33,OPEX
PJ-100-03-05,2027,5,255180.79,298932.92,252153.04,CAPEX
PJ-100-03-05,2027,6,250594.09,248204.84,237141.9,OPEX
PJ-100-03-05,2027,7,297430.85,310881.42,285861.52,OPEX
PJ-100-03-05,2027,8,272232.64,294302.3,267629.87,OPEX
PJ-100-03-05,2027,9,297779.94,370106.71,308514.27,OPEX
PJ-100-03-05,2027,10,246631.4,287806.87,220251.85,OPEX
PJ-100-03-05,2027,11,284561.45,335845.48,297266.09,CAPEX
PJ-100-03-05,2027,12,267681.93,239226.6,221476.44,OPEX
PJ-200-01-01,2027,1,304208.85,362819.13,284776.4,OPEX
PJ-200-01-01,2027,2,295393.04,275701.41,290817.16,CAPEX
PJ-200-01-01,2027,3,301560.87,352574.22,297134.74,OPEX
PJ-200-01-01,2027,4,361186.18,431672.8,452531.0,OPEX
PJ-200-01-01,2027,5,392740.77,436694.63,463159.87,OPEX
PJ-200-01-01,2027,6,384263.05,343255.52,265661.67,OPEX
PJ-200-01-01,2027,7,397229.34,459317.69,414254.04,CAPEX
PJ-200-01-01,2027,8,372647.87,424982.39,333686.62,CAPEX
PJ-200-01-01,2027,9,365765.8,444137.31,340252.19,CAPEX
PJ-200-01-01,2027,10,324222.26,330282.36,264539.47,OPEX
PJ-200-01-01,2027,11,352485.31,413547.11,334764.02,CAPEX
PJ-200-01-01,2027,12,357002.63,364692.97,360716.76,OPEX
PJ-200-01-02,2027,1,369722.52,357118.58,347571.59,OPEX
PJ-200-01-02,2027,2,334245.68,295298.39,304636.19,OPEX
PJ-200-01-02,2027,3,379944.03,356558.84,322545.06,OPEX
PJ-200-01-02,2027,4,413495.73,409644.87,445165.25,OPEX
PJ-200-01-02,2027,5,356052.4,353127.43,388362.75,OPEX
PJ-200-01-02,2027,6,318156.68,324871.31,284468.92,OPEX
PJ-200-01-02,2027,7,414041.18,409584.18,447380.84,OPEX
PJ-200-01-02,2027,8,336318.43,366383.19,362730.29,CAPEX
PJ-200-01-02,2027,9,405159.26,468248.1,487677.41,OPEX
PJ-200-01-02,2027,10,390563.38,376949.82,388513.2,CAPEX
PJ-200-01-02,2027,11,375507.88,416712.26,411385.66,CAPEX
PJ-200-01-02,2027,12,374602.13,454864.15,444047.12,OPEX
PJ-200-01-03,2027,1,311672.85,341107.96,343265.78,CAPEX
PJ-200-01-03,2027,2,356299.21,356614.92,319322.3,CAPEX
PJ-200-01-03,2027,3,282290.63,304755.56,332190.07,OPEX
PJ-200-01-03,2027,4,348764.28,340072.7,353213.6,OPEX
PJ-200-01-03,2027,5,361797.13,357890.57,377445.33,CAPEX
PJ-200-01-03,2027,6,314291.41,285332.84,289314.09,CAPEX
PJ-200-01-03,2027,7,351588.43,403609.52,441137.05,OPEX
PJ-200-01-03,2027,8,278306.19,285540.09,240584.8,CAPEX
PJ-200-01-03,2027,9,313002.0,353362.51,348174.9,OPEX
PJ-200-01-03,2027,10,347997.48,427308.89,336685.71,CAPEX
PJ-200-01-03,2027,11,314590.83,348954.32,376908.78,OPEX
PJ-200-01-03,2027,12,356834.96,343241.64,265025.78,OPEX
PJ-200-01-04,2027,1,381208.09,427036.39,337715.99,CAPEX
PJ-200-01-04,2027,2,407652.74,404642.18,373249.48,CAPEX
PJ-200-01-04,2027,3,330917.21,357024.01,316332.57,OPEX
PJ-200-01-04,2027,4,377908.66,436470.09,471863.85,OPEX
PJ-200-01-04,2027,5,368940.86,423854.64,449241.34,CAPEX
PJ-200-01-04,2027,6,395511.53,438144.24,472612.43,OPEX
PJ-200-01-04,2027,7,309121.22,314405.98,284595.29,CAPEX
PJ-200-01-04,2027,8,397858.17,364740.94,361089.19,OPEX
PJ-200-01-04,2027,9,312123.27,306528.81,333770.77,OPEX
PJ-200-01-04,2027,10,315480.11,302381.11,294465.54,CAPEX
PJ-200-01-04,2027,11,311047.77,312104.83,342094.15,CAPEX
PJ-200-01-04,2027,12,312992.6,364044.27,299428.26,CAPEX
PJ-200-01-05,2027,1,361988.74,362555.99,290640.82,CAPEX
PJ-200-01-05,2027,2,304076.8,378299.03,414477.49,OPEX
PJ-200-01-05,2027,3,355030.4,326866.82,344274.68,CAPEX
PJ-200-01-05,2027,4,278424.53,326395.5,271977.55,OPEX
PJ-200-01-05,2027,5,278514.54,272439.02,216416.15,OPEX
PJ-200-01-05,2027,6,328399.23,379595.41,347969.83,OPEX
PJ-200-01-05,2027,7,327143.32,301086.35,278909.4,CAPEX
PJ-200-01-05,2027,8,348063.34,423327.9,415122.15,OPEX
PJ-200-01-05,2027,9,321747.71,397902.07,306897.45,OPEX
PJ-200-01-05,2027,10,359799.34,373371.42,294137.01,OPEX
PJ-200-01-05,2027,11,284155.93,258551.34,248960.15,CAPEX
PJ-200-01-05,2027,12,289307.69,321420.12,306916.88,OPEX
PJ-200-02-01,2027,1,200740.96,216058.7,196354.24,OPEX
PJ-200-02-01,2027,2,153782.97,175260.05,183756.21,CAPEX
PJ-200-02-01,2027,3,171135.15,206832.86,185081.23,OPEX
PJ-200-02-01,2027,4,169491.67,194908.07,167502.42,OPEX
PJ-200-02-01,2027,5,183460.71,186853.15,150122.23,OPEX
PJ-200-02-01,2027,6,152102.5,180660.6,141390.5,CAPEX
PJ-200-02-01,2027,7,187628.75,190983.43,151935.03,CAPEX
PJ-200-02-01,2027,8,179336.62,195080.04,168817.6,CAPEX
PJ-200-02-01,2027,9,170125.08,204700.4,220952.68,OPEX
PJ-200-02-01,2027,10,194105.34,222598.54,242396.35,OPEX
PJ-200-02-01,2027,11,167022.56,182694.26,150623.85,OPEX
PJ-200-02-01,2027,12,160341.54,147520.76,154289.12,OPEX
PJ-200-02-02,2027,1,88267.99,96425.45,99561.92,CAPEX
PJ-200-02-02,2027,2,84497.37,94924.14,94232.61,CAPEX
PJ-200-02-02,2027,3,73977.23,84333.93,72370.71,OPEX
PJ-200-02-02,2027,4,78165.05,74031.69,59235.57,OPEX
PJ-200-02-02,2027,5,71256.71,82241.54,89654.27,CAPEX
PJ-200-02-02,2027,6,87863.12,84313.37,75624.15,OPEX
PJ-200-02-02,2027,7,73412.49,73067.88,63096.6,CAPEX
PJ-200-02-02,2027,8,91231.65,85535.57,86737.56,CAPEX
PJ-200-02-02,2027,9,86092.25,84428.78,82881.92,OPEX
PJ-200-02-02,2027,10,84450.27,87258.07,72027.1,CAPEX
PJ-200-02-02,2027,11,78021.44,71860.03,70952.88,OPEX
PJ-200-02-02,2027,12,82483.06,81997.66,67826.94,CAPEX
PJ-200-02-03,2027,1,40420.46,49707.87,50631.06,OPEX
PJ-200-02-03,2027,2,41551.79,38410.24,35494.32,OPEX
PJ-200-02-03,2027,3,40038.2,40866.06,40714.24,OPEX
PJ-200-02-03,2027,4,38659.44,46346.98,35446.44,CAPEX
PJ-200-02-03,2027,5,43817.91,39822.11,34229.94,OPEX
PJ-200-02-03,2027,6,45330.07,51790.27,46414.07,CAPEX
PJ-200-02-03,2027,7,43089.77,53323.33,43200.2,OPEX
PJ-200-02-03,2027,8,48771.36,59516.41,46473.12,CAPEX
PJ-200-02-03,2027,9,40937.98,44945.09,41951.15,OPEX
PJ-200-02-03,2027,10,49283.62,56969.3,47144.95,CAPEX
PJ-200-02-03,2027,11,38716.71,43141.76,40368.25,CAPEX
PJ-200-02-03,2027,12,49754.63,50215.8,50445.93,CAPEX
PJ-200-02-04,2027,1,109443.29,106675.28,86484.28,CAPEX
PJ-200-02-04,2027,2,133948.0,150361.76,122093.92,OPEX
PJ-200-02-04,2027,3,122904.95,133792.13,127478.99,OPEX
PJ-200-02-04,2027,4,137825.73,153271.92,123052.08,CAPEX
PJ-200-02-04,2027,5,123090.13,137074.71,141010.86,CAPEX
PJ-200-02-04,2027,6,118729.79,107741.41,98218.14,CAPEX
PJ-200-02-04,2027,7,107731.85,127956.11,99403.45,CAPEX
PJ-200-02-04,2027,8,128535.47,137226.41,125143.5,CAPEX
PJ-200-02-04,2027,9,122374.93,144357.37,141202.16,OPEX
PJ-200-02-04,2027,10,128162.63,136558.04,148193.17,OPEX
PJ-200-02-04,2027,11,109469.28,132750.88,115520.24,CAPEX
PJ-200-02-04,2027,12,124418.15,117431.67,98256.29,OPEX
PJ-200-02-05,2027,1,196665.52,217438.91,190773.13,OPEX
PJ-200-02-05,2027,2,188660.9,220082.75,217356.84,CAPEX
PJ-200-02-05,2027,3,212197.63,237555.87,183647.12,CAPEX
PJ-200-02-05,2027,4,198650.96,203225.64,170343.44,CAPEX
PJ-200-02-05,2027,5,185494.56,203230.37,162482.67,OPEX
PJ-200-02-05,2027,6,184139.67,206741.02,202967.44,CAPEX
PJ-200-02-05,2027,7,200822.87,246421.87,211517.12,OPEX
PJ-200-02-05,2027,8,203661.03,203973.92,162103.75,CAPEX
PJ-200-02-05,2027,9,203809.32,211281.04,185217.38,OPEX
PJ-200-02-05,2027,10,184059.67,226749.12,197182.47,OPEX
PJ-200-02-05,2027,11,177214.35,221516.4,178150.32,OPEX
PJ-200-02-05,2027,12,215431.15,197641.29,201555.8,CAPEX
PJ-200-03-01,2027,1,259657.31,302120.06,240447.44,OPEX
PJ-200-03-01,2027,2,244708.1,231717.28,229978.47,CAPEX
PJ-200-03-01,2027,3,291144.39,260913.76,228953.08,CAPEX
PJ-200-03-01,2027,4,311490.87,344484.08,349078.43,OPEX
PJ-200-03-01,2027,5,251240.3,243324.31,264726.83,OPEX
PJ-200-03-01,2027,6,306116.52,291357.41,287688.46,OPEX
PJ-200-03-01,2027,7,269888.94,265639.68,234733.93,OPEX
PJ-200-03-01,2027,8,311218.9,367938.47,379138.78,CAPEX
PJ-200-03-01,2027,9,303579.62,273011.13,250680.66,OPEX
PJ-200-03-01,2027,10,277495.01,254728.82,266462.21,CAPEX
PJ-200-03-01,2027,11,255422.54,296891.22,251014.68,CAPEX
PJ-200-03-01,2027,12,300143.14,274311.03,293149.81,OPEX
PJ-200-03-02,2027,1,335034.47,298136.44,229159.57,OPEX
PJ-200-03-02,2027,2,323055.13,403164.52,355276.41,CAPEX
PJ-200-03-02,2027,3,331781.91,304131.46,304176.01,OPEX
PJ-200-03-02,2027,4,381537.94,355178.19,302046.3,OPEX
PJ-200-03-02,2027,5,371505.73,346003.09,344943.51,OPEX
PJ-200-03-02,2027,6,363008.74,441116.34,333771.28,CAPEX
PJ-200-03-02,2027,7,386125.43,418196.07,420091.41,OPEX
PJ-200-03-02,2027,8,309940.64,305786.68,261570.82,CAPEX
PJ-200-03-02,2027,9,323335.27,360975.42,349418.32,CAPEX
PJ-200-03-02,2027,10,309906.01,376506.16,361016.19,CAPEX
PJ-200-03-02,2027,11,364756.76,398594.36,399188.47,OPEX
PJ-200-03-02,2027,12,343418.84,380329.34,317269.78,OPEX
PJ-200-03-03,2027,1,112420.69,102491.37,111831.32,CAPEX
PJ-200-03-03,2027,2,121710.56,131606.88,134929.21,CAPEX
PJ-200-03-03,2027,3,103616.63,109206.74,106201.89,OPEX
PJ-200-03-03,2027,4,99219.59,87909.51,90193.58,OPEX
PJ-200-03-03,2027,5,98817.04,110984.25,87264.96,OPEX
PJ-200-03-03,2027,6,95354.9,96341.89,83672.11,CAPEX
PJ-200-03-03,2027,7,117756.54,133457.31,145907.11,OPEX
PJ-200-03-03,2027,8,111371.74,131446.96,101488.25,OPEX
PJ-200-03-03,2027,9,92255.65,88066.2,90434.14,CAPEX
PJ-200-03-03,2027,10,101210.6,100677.02,89539.97,OPEX
PJ-200-03-03,2027,11,99208.77,114954.96,93905.12,OPEX
PJ-200-03-03,2027,12,118777.18,106624.79,104439.62,OPEX
PJ-200-03-04,2027,1,92822.68,96690.78,86055.53,OPEX
PJ-200-03-04,2027,2,95257.67,97454.17,106303.33,OPEX
PJ-200-03-04,2027,3,90081.6,91515.55,94174.24,OPEX
PJ-200-03-04,2027,4,92868.81,106708.13,82978.85,CAPEX
PJ-200-03-04,2027,5,86335.8,86236.36,67093.97,OPEX
PJ-200-03-04,2027,6,80229.39,88490.61,79565.5,OPEX
PJ-200-03-04,2027,7,81380.54,72890.22,76863.69,OPEX
PJ-200-03-04,2027,8,88108.54,91714.64,89313.02,CAPEX
PJ-200-03-04,2027,9,74315.22,82926.84,72740.02,CAPEX
PJ-200-03-04,2027,10,96743.58,90245.16,86874.55,OPEX
PJ-200-03-04,2027,11,73286.95,66315.62,67806.42,OPEX
PJ-200-03-04,2027,12,81651.48,100537.7,76542.86,CAPEX
PJ-200-03-05,2027,1,274824.28,279566.88,253113.92,CAPEX
PJ-200-03-05,2027,2,285203.61,306850.61,272885.9,OPEX
PJ-200-03-05,2027,3,258057.29,237922.63,239703.76,OPEX
PJ-200-03-05,2027,4,280501.36,341653.67,270321.97,OPEX
PJ-200-03-05,2027,5,296094.94,284070.84,273888.89,OPEX
PJ-200-03-05,2027,6,253919.49,236200.86,183272.55,CAPEX
PJ-200-03-05,2027,7,312387.35,326348.3,254788.85,OPEX
PJ-200-03-05,2027,8,293065.0,334835.54,315582.17,OPEX
PJ-200-03-05,2027,9,311772.34,372569.18,372246.23,CAPEX
PJ-200-03-05,2027,10,303599.8,324317.33,257013.98,CAPEX
PJ-200-03-05,2027,11,303463.3,293628.78,270992.25,OPEX
PJ-200-03-05,2027,12,283537.85,288215.41,297231.26,CAPEX
PJ-300-01-01,2027,1,285017.27,257748.75,229230.4,OPEX
PJ-300-01-01,2027,2,257528.1,299914.88,311362.27,CAPEX
PJ-300-01-01,2027,3,226832.85,226220.46,175537.52,OPEX
PJ-300-01-01,2027,4,269366.58,271378.87,286925.09,CAPEX
PJ-300-01-01,2027,5,276088.21,256138.68,237185.02,CAPEX
PJ-300-01-01,2027,6,280964.96,301109.53,257883.33,CAPEX
PJ-300-01-01,2027,7,241961.94,276430.12,240800.51,OPEX
PJ-300-01-01,2027,8,282079.93,274385.91,266777.18,OPEX
PJ-300-01-01,2027,9,226820.86,225016.52,210776.87,CAPEX
PJ-300-01-01,2027,10,262596.8,287501.27,232853.09,OPEX
PJ-300-01-01,2027,11,281818.98,306770.85,318683.59,CAPEX
PJ-300-01-01,2027,12,223451.52,275060.4,280522.5,OPEX
PJ-300-01-02,2027,1,245893.36,268439.51,259403.29,CAPEX
PJ-300-01-02,2027,2,269094.61,299246.84,254774.3,OPEX
PJ-300-01-02,2027,3,267875.44,315486.17,312251.43,OPEX
PJ-300-01-02,2027,4,265500.57,301286.6,242634.58,OPEX
PJ-300-01-02,2027,5,267980.95,256052.72,246407.5,OPEX
PJ-300-01-02,2027,6,298452.37,297899.36,326440.56,OPEX
PJ-300-01-02,2027,7,307651.87,285618.91,251255.83,CAPEX
PJ-300-01-02,2027,8,254642.0,268034.86,226118.25,CAPEX
PJ-300-01-02,2027,9,240244.64,215913.62,233377.73,OPEX
PJ-300-01-02,2027,10,248919.38,298744.03,240756.28,OPEX
PJ-300-01-02,2027,11,304289.76,348964.83,284909.52,CAPEX
PJ-300-01-02,2027,12,269112.98,288071.5,266341.09,OPEX
PJ-300-01-03,2027,1,184682.06,227110.2,210509.71,CAPEX
PJ-300-01-03,2027,2,197093.38,199176.89,152905.94,OPEX
PJ-300-01-03,2027,3,221815.05,264371.24,260506.72,OPEX
PJ-300-01-03,2027,4,217882.34,260032.5,234243.7,OPEX
PJ-300-01-03,2027,5,230219.26,267659.12,235025.61,OPEX
PJ-300-01-03,2027,6,186491.14,202878.54,177900.81,OPEX
PJ-300-01-03,2027,7,187937.69,200449.56,203965.73,OPEX
PJ-300-01-03,2027,8,236542.54,262703.99,253211.21,CAPEX
